date,store,item,sales
01/01/17,1,1,13
02/01/17,1,1,11
03/01/17,1,1,14
04/01/17,1,1,13
05/01/17,1,1,10
06/01/17,1,1,12
07/01/17,1,1,10
08/01/17,1,1,9
09/01/17,1,1,12
10/01/17,1,1,9
11/01/17,1,1,9
12/01/17,1,1,7
13/01/17,1,1,10
14/01/17,1,1,12
15/01/17,1,1,5
16/01/17,1,1,7
17/01/17,1,1,16
18/01/17,1,1,7
19/01/17,1,1,18
20/01/17,1,1,15
21/01/17,1,1,8
22/01/17,1,1,7
23/01/17,1,1,9
24/01/17,1,1,8
25/01/17,1,1,14
26/01/17,1,1,12
27/01/17,1,1,12
28/01/17,1,1,11
29/01/17,1,1,6
30/01/17,1,1,9
31/01/17,1,1,13
01/02/17,1,1,11
02/02/17,1,1,21
03/02/17,1,1,15
04/02/17,1,1,14
05/02/17,1,1,9
06/02/17,1,1,10
07/02/17,1,1,13
08/02/17,1,1,11
09/02/17,1,1,14
10/02/17,1,1,11
11/02/17,1,1,16
12/02/17,1,1,11
13/02/17,1,1,14
14/02/17,1,1,10
15/02/17,1,1,11
16/02/17,1,1,7
17/02/17,1,1,11
18/02/17,1,1,10
19/02/17,1,1,10
20/02/17,1,1,7
21/02/17,1,1,13
22/02/17,1,1,12
23/02/17,1,1,15
24/02/17,1,1,11
25/02/17,1,1,7
26/02/17,1,1,9
27/02/17,1,1,9
28/02/17,1,1,10
01/03/17,1,1,15
02/03/17,1,1,13
03/03/17,1,1,20
04/03/17,1,1,14
05/03/17,1,1,13
06/03/17,1,1,17
07/03/17,1,1,11
08/03/17,1,1,15
09/03/17,1,1,16
10/03/17,1,1,11
11/03/17,1,1,18
12/03/17,1,1,14
13/03/17,1,1,13
14/03/17,1,1,10
15/03/17,1,1,14
16/03/17,1,1,10
17/03/17,1,1,22
18/03/17,1,1,11
19/03/17,1,1,19
20/03/17,1,1,14
21/03/17,1,1,17
22/03/17,1,1,21
23/03/17,1,1,21
24/03/17,1,1,19
25/03/17,1,1,13
26/03/17,1,1,16
27/03/17,1,1,11
28/03/17,1,1,13
29/03/17,1,1,17
30/03/17,1,1,19
31/03/17,1,1,20
01/04/17,1,1,11
02/04/17,1,1,19
03/04/17,1,1,24
04/04/17,1,1,18
05/04/17,1,1,19
06/04/17,1,1,23
07/04/17,1,1,17
08/04/17,1,1,19
09/04/17,1,1,13
10/04/17,1,1,19
11/04/17,1,1,16
12/04/17,1,1,18
13/04/17,1,1,17
14/04/17,1,1,26
15/04/17,1,1,14
16/04/17,1,1,9
17/04/17,1,1,17
18/04/17,1,1,21
19/04/17,1,1,22
20/04/17,1,1,22
21/04/17,1,1,20
22/04/17,1,1,13
23/04/17,1,1,11
24/04/17,1,1,13
25/04/17,1,1,14
26/04/17,1,1,20
27/04/17,1,1,22
28/04/17,1,1,19
